"020H", "020H", 42.0, 41.0, -64.0, -66.0, null
"020I", "020I", 43.0, 42.0, -64.0, -66.0, null
"020J", "020J", 43.0, 42.0, -66.0, -68.0, null
"020O", "020O", 44.0, 43.0, -66.0, -68.0, null
"020P", "020P", 44.0, 43.0, -64.0, -66.0, null
"021A", "021A", 45.0, 44.0, -64.0, -66.0, null
"021B", "021B", 45.0, 44.0, -66.0, -68.0, null
"021E", "021E", 46.0, 45.0, -70.0, -72.0, null
"021G", "021G", 46.0, 45.0, -66.0, -68.0, null
"021H", "021H", 46.0, 45.0, -64.0, -66.0, null
"021I", "021I", 47.0, 46.0, -64.0, -66.0, null
"021J", "021J", 47.0, 46.0, -66.0, -68.0, null
"021K", "021K", 47.0, 46.0, -68.0, -70.0, null
"021L", "021L", 47.0, 46.0, -70.0, -72.0, null
"021M", "021M", 48.0, 47.0, -70.0, -72.0, null
"021N", "021N", 48.0, 47.0, -68.0, -70.0, null
"021O", "021O", 48.0, 47.0, -66.0, -68.0, null
"021P", "021P", 48.0, 47.0, -64.0, -66.0, null
"022A", "022A", 49.0, 48.0, -64.0, -66.0, null
"022B", "022B", 49.0, 48.0, -66.0, -68.0, null
"022C", "022C", 49.0, 48.0, -68.0, -70.0, null
"022D", "022D", 49.0, 48.0, -70.0, -72.0, null
"022E", "022E", 50.0, 49.0, -70.0, -72.0, null
"022F", "022F", 50.0, 49.0, -68.0, -70.0, null
"022G", "022G", 50.0, 49.0, -66.0, -68.0, null
"022H", "022H", 50.0, 49.0, -64.0, -66.0, null
"022I", "022I", 51.0, 50.0, -64.0, -66.0, null
"022J", "022J", 51.0, 50.0, -66.0, -68.0, null
"022K", "022K", 51.0, 50.0, -68.0, -70.0, null
"022L", "022L", 51.0, 50.0, -70.0, -72.0, null
"022M", "022M", 52.0, 51.0, -70.0, -72.0, null
"022N", "022N", 52.0, 51.0, -68.0, -70.0, null
"022O", "022O", 52.0, 51.0, -66.0, -68.0, null
"022P", "022P", 52.0, 51.0, -64.0, -66.0, null
"023A", "023A", 53.0, 52.0, -64.0, -66.0, null
"023B", "023B", 53.0, 52.0, -66.0, -68.0, null
"023C", "023C", 53.0, 52.0, -68.0, -70.0, null
"023D", "023D", 53.0, 52.0, -70.0, -72.0, null
"023E", "023E", 54.0, 53.0, -70.0, -72.0, null
"023F", "023F", 54.0, 53.0, -68.0, -70.0, null
"023G", "023G", 54.0, 53.0, -66.0, -68.0, null
"023H", "023H", 54.0, 53.0, -64.0, -66.0, null
"023I", "023I", 55.0, 54.0, -64.0, -66.0, null
"023J", "023J", 55.0, 54.0, -66.0, -68.0, null
"023K", "023K", 55.0, 54.0, -68.0, -70.0, null
"023L", "023L", 55.0, 54.0, -70.0, -72.0, null
"023M", "023M", 56.0, 55.0, -70.0, -72.0, null
"023N", "023N", 56.0, 55.0, -68.0, -70.0, null
"023O", "023O", 56.0, 55.0, -66.0, -68.0, null
"023P", "023P", 56.0, 55.0, -64.0, -66.0, null
"024A", "024A", 57.0, 56.0, -64.0, -66.0, null
"024B", "024B", 57.0, 56.0, -66.0, -68.0, null
"024C", "024C", 57.0, 56.0, -68.0, -70.0, null
"024D", "024D", 57.0, 56.0, -70.0, -72.0, null
"024E", "024E", 58.0, 57.0, -70.0, -72.0, null
"024F", "024F", 58.0, 57.0, -68.0, -70.0, null
"024G", "024G", 58.0, 57.0, -66.0, -68.0, null
"024H", "024H", 58.0, 57.0, -64.0, -66.0, null
"024I", "024I", 59.0, 58.0, -64.0, -66.0, null
"024J", "024J", 59.0, 58.0, -66.0, -68.0, null
"024K", "024K", 59.0, 58.0, -68.0, -70.0, null
"024L", "024L", 59.0, 58.0, -70.0, -72.0, null
"024M", "024M", 60.0, 59.0, -70.0, -72.0, null
"024N", "024N", 60.0, 59.0, -68.0, -70.0, null
"024O", "024O", 60.0, 59.0, -66.0, -68.0, null
"024P", "024P", 60.0, 59.0, -64.0, -66.0, null
"025A", "025A", 61.0, 60.0, -64.0, -66.0, null
"025B", "025B", 61.0, 60.0, -66.0, -68.0, null
"025C", "025C", 61.0, 60.0, -68.0, -70.0, null
"025D", "025D", 61.0, 60.0, -70.0, -72.0, null
"025E", "025E", 62.0, 61.0, -70.0, -72.0, null
"025F", "025F", 62.0, 61.0, -68.0, -70.0, null
"025G", "025G", 62.0, 61.0, -66.0, -68.0, null
"025H", "025H", 62.0, 61.0, -64.0, -66.0, null
"025I", "025I", 63.0, 62.0, -64.0, -66.0, null
"025J", "025J", 63.0, 62.0, -66.0, -68.0, null
"025K", "025K", 63.0, 62.0, -68.0, -70.0, null
"025L", "025L", 63.0, 62.0, -70.0, -72.0, null
